run,phase,seed,transitions,snapshot,snapshot_sha256,checkpoint,checkpoint_sha256,rounds,mean_coins,all50_fraction,mean_steps_all,mean_steps_success,max_steps,strict_126,deaths,invalid,timeouts,mean_max_q,max_q,max_abs_q,policy_churn
diagnostic_baseline/run_1,diagnostic-replication,1,10114,results/dqn/d6_20260917/diagnostic_baseline/run_1/snapshots/transition_000010114.npz,f9f25c056e71e520c944947cacb8098972212b63ddb46b904e29ce4e131c07ea,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000010114/checkpoint.pt,fe48f0cb22c78a933087bbc0b7d3b463a0ed2b3e38dcd26e4899763720524f02,10,50.0,1.0,124.7,124.7,132,False,0,0,0,0.5848267674446106,0.607319176197052,0.607319176197052,0.9955
diagnostic_baseline/run_1,diagnostic-replication,1,20250,results/dqn/d6_20260917/diagnostic_baseline/run_1/snapshots/transition_000020250.npz,847d2172906429bb2f0803bfe12ab685a9eca2d2a0ec169bdf82c8d58089e725,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000020250/checkpoint.pt,055f7b5b74e332bae732364d307bda8410589fc00b6a0074635895ae7790ea47,10,50.0,1.0,124.7,124.7,132,False,0,0,0,1.307836890220642,1.609291672706604,1.609291672706604,0.0
diagnostic_baseline/run_1,diagnostic-replication,1,30083,results/dqn/d6_20260917/diagnostic_baseline/run_1/snapshots/transition_000030083.npz,20e26df27c90025a33be1fe6ea6df7ce79e0cb82d0696c6ad6882be606d5265c,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000030083/checkpoint.pt,1117fc4768d9332c0acf5391802edd94d9ae9f8fa013a132e23d493344107ed9,10,50.0,1.0,124.7,124.7,132,False,0,0,0,2.20436429977417,2.4381003379821777,2.4381003379821777,0.0
diagnostic_baseline/run_1,diagnostic-replication,1,40268,results/dqn/d6_20260917/diagnostic_baseline/run_1/snapshots/transition_000040268.npz,9db9d4353c1807822e44c0d50b830463b174c0acf96154903d62faddcc2c8c3a,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000040268/checkpoint.pt,6f80211ee960765f6ee52e8f7ac7c83e4823403ef21be93f4278b8cdbc22afb4,10,50.0,1.0,124.7,124.7,132,False,0,0,0,2.939598560333252,3.167861223220825,3.167861223220825,0.0
diagnostic_baseline/run_1,diagnostic-replication,1,50115,results/dqn/d6_20260917/diagnostic_baseline/run_1/snapshots/transition_000050115.npz,214ae384ecebdd10607deea95d733471100dbd6dcb8fb212e155313009e6e10e,results/dqn/d6_20260917/diagnostic_baseline/run_1/checkpoints/transition_000050115/checkpoint.pt,f720f9e48207ee7ed57c2d7859e230bb6c046b4cd1fd791791d0bbe097e401a2,10,50.0,1.0,124.7,124.7,132,False,0,0,0,4.052445888519287,4.368194103240967,4.368194103240967,0.0
diagnostic_baseline/run_2,diagnostic-replication,2,0,results/dqn/d6_20260917/diagnostic_baseline/run_2/snapshots/transition_000000000.npz,06869bd10eebb6566aa03ceb3cd8c052589ee28eb519337fe108dbbf1e421508,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000000000/checkpoint.pt,0a53272aabcb6c55fde61468d213cfbb62a119ed924f13b5de8b23cf8cfd8f4d,10,49.9,0.9,400.0,400.0,400,False,0,0,0,0.14146986603736877,0.17984500527381897,0.17984500527381897,
diagnostic_baseline/run_2,diagnostic-replication,2,10444,results/dqn/d6_20260917/diagnostic_baseline/run_2/snapshots/transition_000010444.npz,13597dd1844286ffab0a31825beac9b0278ac145cb2be4067ca9844c3740632d,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000010444/checkpoint.pt,7320537914689e6bbff53e8497695d77a9796e23534aee804fbe50b3220514ef,10,50.0,1.0,124.7,124.7,132,False,0,0,0,0.7678816914558411,0.9370428919792175,0.9370428919792175,0.9955
diagnostic_baseline/run_2,diagnostic-replication,2,20507,results/dqn/d6_20260917/diagnostic_baseline/run_2/snapshots/transition_000020507.npz,faf0dd5b3fcc5d1c93969dcc13939fb46357c46f9ca09973180641f4d7bd1f4f,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000020507/checkpoint.pt,fc99ebb2c0c439ac2cdf764c8d3c4d2a63e345d04b338045560e19253d4424cd,10,50.0,1.0,124.7,124.7,132,False,0,0,0,1.5003632307052612,1.7291327714920044,1.7291327714920044,0.0
diagnostic_baseline/run_2,diagnostic-replication,2,30504,results/dqn/d6_20260917/diagnostic_baseline/run_2/snapshots/transition_000030504.npz,46d4d9efbf2e17f83aeb024a1f6f26b668f3e99d502840de44ea12d5a2d0090e,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000030504/checkpoint.pt,697db5a47e993ba75dd6317ad59cc2a96c6349785fbe646fc47628f4b7f36db3,10,50.0,1.0,124.7,124.7,132,False,0,0,0,2.537627696990967,2.7199900150299072,2.7199900150299072,0.0045
diagnostic_baseline/run_2,diagnostic-replication,2,40292,results/dqn/d6_20260917/diagnostic_baseline/run_2/snapshots/transition_000040292.npz,b7d20e12473f428a851df9d3e3413558ae8de078ef7d36c76b6454fc8d9b3aa8,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000040292/checkpoint.pt,0a2b7fc94c0b012b630f67576b941093e963aad4710c0be928f90328e9a72ed7,10,50.0,1.0,124.7,124.7,132,False,0,0,0,3.2098608016967773,3.3820607662200928,3.3820607662200928,0.0
diagnostic_baseline/run_2,diagnostic-replication,2,50072,results/dqn/d6_20260917/diagnostic_baseline/run_2/snapshots/transition_000050072.npz,52304884ee5c4d43a871c94fbdc21da85ec6c5b9a268c8f92ecbce4b501af5a7,results/dqn/d6_20260917/diagnostic_baseline/run_2/checkpoints/transition_000050072/checkpoint.pt,c68f6dd8b8d4c0360edcf093c5552b3ba69f7ba391780c993b292e4237cf4704,10,50.0,1.0,124.7,124.7,132,False,0,0,0,4.26163387298584,4.5912909507751465,4.5912909507751465,0.0
